ticker,sector_benchmark,notes
NVDA,SMH,Example semiconductor universe; verify current suitability before research use.
AMD,SMH,Example semiconductor universe; verify current suitability before research use.
AVGO,SMH,Example semiconductor universe; verify current suitability before research use.
INTC,SMH,Example semiconductor universe; verify current suitability before research use.
QCOM,SMH,Example semiconductor universe; verify current suitability before research use.
TXN,SMH,Example semiconductor universe; verify current suitability before research use.
MU,SMH,Example semiconductor universe; verify current suitability before research use.
ADI,SMH,Example semiconductor universe; verify current suitability before research use.
MRVL,SMH,Example semiconductor universe; verify current suitability before research use.
LRCX,SMH,Example semiconductor universe; verify current suitability before research use.
